offer ($),clients reduction (W),H,motor
11.875,67385.0,14943.352,0.0
11.9,67508.0,14927.977,0.0
11.925,67708.0,14902.977,0.0
11.95,67708.0,14902.977,0.0
11.975,67708.0,14902.977,0.0
12.0,67708.0,14902.977,0.0
12.025,67708.0,14902.977,0.0
12.05,67708.0,14902.977,0.0
12.075,67708.0,14902.977,0.0
12.1,67708.0,14902.977,0.0
12.125,67708.0,14902.977,0.0
12.15,67708.0,14902.977,0.0
12.175,67896.0,14879.477,0.0
12.2,67896.0,14879.477,0.0
12.225,67896.0,14879.477,0.0
12.25,67896.0,14879.477,0.0
12.275,67896.0,14879.477,0.0
12.3,67896.0,14879.477,0.0
12.325,67896.0,14879.477,0.0
12.35,67896.0,14879.477,0.0
12.375,67896.0,14879.477,0.0
12.4,67896.0,14879.477,0.0
12.425,67896.0,14879.477,0.0
12.45,67896.0,14879.477,0.0
12.475,67896.0,14879.477,0.0
12.5,67896.0,14879.477,0.0
12.525,67896.0,14879.477,0.0
12.55,67896.0,14879.477,0.0
12.575,67896.0,14879.477,0.0
12.6,67896.0,14879.477,0.0
12.625,67896.0,14879.477,0.0
12.65,67896.0,14879.477,0.0
12.675,67896.0,14879.477,0.0
12.7,67896.0,14879.477,0.0
12.725,67896.0,14879.477,0.0
12.75,67896.0,14879.477,0.0
12.775,67896.0,14879.477,0.0
12.8,67896.0,14879.477,0.0
12.825,67896.0,14879.477,0.0
12.85,67896.0,14879.477,0.0
12.875,68098.0,14854.227,0.0
12.9,68098.0,14854.227,0.0
12.925,68098.0,14854.227,0.0
12.95,68098.0,14854.227,0.0
12.975,68098.0,14854.227,0.0
13.0,68098.0,14854.227,0.0
13.025,68098.0,14854.227,0.0
13.05,68098.0,14854.227,0.0
13.075,68206.0,14840.727,0.0
13.1,68206.0,14840.727,0.0
13.125,68206.0,14840.727,0.0
13.15,68206.0,14840.727,0.0
13.175,68206.0,14840.727,0.0
13.2,68206.0,14840.727,0.0
13.225,68206.0,14840.727,0.0
13.25,68206.0,14840.727,0.0
13.275,68206.0,14840.727,0.0
13.3,68206.0,14840.727,0.0
13.325,68206.0,14840.727,0.0
13.35,68206.0,14840.727,0.0
13.375,68206.0,14840.727,0.0
13.4,68206.0,14840.727,0.0
13.425,68206.0,14840.727,0.0
13.45,68206.0,14840.727,0.0
13.475,68206.0,14840.727,0.0
13.5,68206.0,14840.727,0.0
13.525,68206.0,14840.727,0.0
13.55,68206.0,14840.727,0.0
13.575,68206.0,14840.727,0.0
13.6,68206.0,14840.727,0.0
13.625,68206.0,14840.727,0.0
13.65,68311.0,14827.602,0.0
13.675,68311.0,14827.602,0.0
13.7,68434.0,14812.227,0.0
13.725,68434.0,14812.227,0.0
13.75,68434.0,14812.227,0.0
13.775,68434.0,14812.227,0.0
13.8,68434.0,14812.227,0.0
13.825,68434.0,14812.227,0.0
13.85,68434.0,14812.227,0.0
13.875,68434.0,14812.227,0.0
13.9,68434.0,14812.227,0.0
13.925,68632.0,14787.477,0.0
13.95,68632.0,14787.477,0.0
13.975,68632.0,14787.477,0.0
14.0,68632.0,14787.477,0.0
14.025,68632.0,14787.477,0.0
14.05,68632.0,14787.477,0.0
14.075,68632.0,14787.477,0.0
14.1,68632.0,14787.477,0.0
14.125,69019.0,14739.102,0.0
14.15,69019.0,14739.102,0.0
14.175,69215.0,14714.602,0.0
14.2,69215.0,14714.602,0.0
14.225,69215.0,14714.602,0.0
14.25,69215.0,14714.602,0.0
14.275,69215.0,14714.602,0.0
14.3,69215.0,14714.602,0.0
14.325,69215.0,14714.602,0.0
14.35,69215.0,14714.602,0.0
14.375,69215.0,14714.602,0.0
14.4,69409.0,14690.352,0.0
14.425,69409.0,14690.352,0.0
14.45,69409.0,14690.352,0.0
14.475,69409.0,14690.352,0.0
14.5,69409.0,14690.352,0.0
14.525,69409.0,14690.352,0.0
14.55,69409.0,14690.352,0.0
14.575,69409.0,14690.352,0.0
14.6,69409.0,14690.352,0.0
14.625,69409.0,14690.352,0.0
14.65,69599.0,14666.602,0.0
14.675,69599.0,14666.602,0.0
14.7,69599.0,14666.602,0.0
14.725,69599.0,14666.602,0.0
14.75,69599.0,14666.602,0.0
14.775,69599.0,14666.602,0.0
14.8,69599.0,14666.602,0.0
14.825,69599.0,14666.602,0.0
14.85,69599.0,14666.602,0.0
14.875,69725.0,14650.852,0.0
14.9,69725.0,14650.852,0.0
14.925,69725.0,14650.852,0.0
14.95,69742.0,14648.727,0.0
14.975,69742.0,14648.727,0.0
